Area,0,1,2,3,4,5,6,7,8,9,10,11,12
area_0,0,0,86,0,0,0,0,0,0,13,0,1,0
area_1,0,0,4,0,0,0,0,0,0,81,0,15,0
area_10,0,2,0,0,0,0,0,23,0,0,0,0,0
area_11,0,0,0,1,0,0,0,29,0,0,0,0,0
area_12,0,0,0,2,0,0,0,0,0,0,0,0,23
area_2,0,0,0,0,0,92,0,0,0,4,2,2,0
area_3,0,0,0,0,9,4,0,0,0,0,87,0,0
area_4,5,0,0,0,4,0,36,0,55,0,0,0,0
area_5,30,0,0,0,66,0,0,0,4,0,0,0,0
area_6,0,95,0,0,2,0,0,0,0,0,3,0,0
area_7,0,32,17,0,0,0,0,0,0,0,0,51,0
area_8,0,0,0,21,0,0,0,0,0,0,0,4,0
area_9,0,10,0,15,0,0,0,0,0,0,0,0,0
