1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,2,50,48,0,0,0,0
0,0,0,0,0,0,0,0,2,23,0,0,0
0,0,0,0,0,0,0,0,0,9,21,0,0
0,0,0,0,0,0,0,0,0,0,25,0,0
0,0,0,0,0,0,0,0,2,0,0,98,0
0,0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,96,0,0,0,0,0,0,0,0,4
0,0,0,4,96,0,0,0,0,0,0,0,0
0,0,0,0,2,98,0,0,0,0,0,0,0
98,0,0,0,0,2,0,0,0,0,0,0,0
4,0,21,0,0,0,0,0,0,0,0,0,0
0,15,10,0,0,0,0,0,0,0,0,0,0
