Area,1,2,3,4,5,6,7,8,9,10,11,12,13
area_0,100,0,0,0,0,0,0,0,0,0,0,0,0
area_1,6,71,23,0,0,0,0,0,0,0,0,0,0
area_10,0,0,2,0,0,0,0,0,0,0,23,0,0
area_11,0,0,0,0,0,0,0,0,0,0,9,6,15
area_12,0,0,0,0,0,0,0,0,0,0,0,12,13
area_2,0,0,2,0,10,0,12,76,0,0,0,0,0
area_3,0,0,0,0,0,12,87,1,0,0,0,0,0
area_4,0,0,0,0,0,4,0,0,96,0,0,0,0
area_5,0,0,0,0,0,96,0,0,4,0,0,0,0
area_6,0,0,0,0,97,2,0,1,0,0,0,0,0
area_7,0,0,33,65,2,0,0,0,0,0,0,0,0
area_8,0,0,4,0,0,0,0,0,0,21,0,0,0
area_9,0,0,11,0,0,0,0,0,0,14,0,0,0
